subpopulation,value_population,treatment,value,outcome,ate,ate_p,iscore,size,size_protected,size_treated,support,ni_score1,ni_score2,ni_score3,p_v1,p_v2,utility,std,kl,emd,diff_means
Age,45-54,Citizenship status,U.S. citizen by naturalization,Total person's income,5930.361965560267,3890.186803644152,2040.175161916115,71103,34995,7868,0.188527111228954,0.18455191248275493,0.09697835711581926,0.1677444755439883,[1.1634036e-11],[2.96308128e-05],0.03162438139892403,73127.57375368489,2358680465.3962355,14677.507901128734,14672.416316616662
Age,45-54,Citizenship status,Born abroad of American parent(s),Total person's income,10367.142266383227,8686.422545257221,1680.7197211260063,71103,34995,794,0.188527111228954,0.15470700502731094,0.08060183001449861,0.14037993729290166,[7.11162267e-05],[0.00296155],0.026465424052332456,73127.57375368489,2358680465.3962355,14677.507901128734,14672.416316616662
Age,45-54,Citizenship status,Not a citizen of the U.S.,Total person's income,-22743.164944686003,-19640.76363230072,3102.401312385282,71103,34995,4945,0.188527111228954,0.26672914615701604,0.14368764236233045,0.2436235810959153,[4.32845987e-99],[5.50020519e-58],0.04592964997126572,73127.57375368489,2358680465.3962355,14677.507901128734,14672.416316616662
Age,55-64,Citizenship status,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",Total person's income,-11752.466796893095,,,74374,36976,321,0.1972000530292987,,,,,,,72620.21211947904,2481752881.425539,14328.23818152315,14324.185823236694
Age,55-64,Citizenship status,Born in the U.S.,Total person's income,7049.91061540076,5724.585938298827,1325.324677101933,74374,36976,63359,0.1972000530292987,0.1241255039947563,0.06411833226350483,0.11244005916053412,[5.12326567e-21],[6.45955717e-13],0.02217318562907481,72620.21211947904,2481752881.425539,14328.23818152315,14324.185823236694
Age,55-64,Citizenship status,U.S. citizen by naturalization,Total person's income,,,,74374,36976,7186,0.1972000530292987,,,,,,,72620.21211947904,2481752881.425539,14328.23818152315,14324.185823236694
Age,55-64,Citizenship status,Born abroad of American parent(s),Total person's income,8274.906642911628,,,74374,36976,810,0.1972000530292987,,,,,,,72620.21211947904,2481752881.425539,14328.23818152315,14324.185823236694
Age,55-64,Citizenship status,Not a citizen of the U.S.,Total person's income,-23384.599837216483,-20551.30089249599,2833.2989447204927,74374,36976,2698,0.1972000530292987,0.24672875315446996,0.13208799590884224,0.2250811036878988,[1.08307417e-60],[1.99377812e-37],0.04438600558314672,72620.21211947904,2481752881.425539,14328.23818152315,14324.185823236694
Age,85-94,Citizenship status,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",Total person's income,,,,1076,513,2,0.0028529762693888373,,,,,,,74737.37167340092,29310791.723219045,10479.914230019494,10460.865497076025
Age,85-94,Citizenship status,Born in the U.S.,Total person's income,,,,1076,513,986,0.0028529762693888373,,,,,,,74737.37167340092,29310791.723219045,10479.914230019494,10460.865497076025
Age,85-94,Citizenship status,U.S. citizen by naturalization,Total person's income,,,,1076,513,68,0.0028529762693888373,,,,,,,74737.37167340092,29310791.723219045,10479.914230019494,10460.865497076025
Age,85-94,Citizenship status,Born abroad of American parent(s),Total person's income,,,,1076,513,5,0.0028529762693888373,,,,,,,74737.37167340092,29310791.723219045,10479.914230019494,10460.865497076025
Age,85-94,Citizenship status,Not a citizen of the U.S.,Total person's income,,,,1076,513,15,0.0028529762693888373,,,,,,,74737.37167340092,29310791.723219045,10479.914230019494,10460.865497076025
Age,35-44,Citizenship status,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",Total person's income,-12304.898675444172,,,66948,32440,430,0.1775102744266207,,,,,,,65713.88684252005,1886837802.8399725,11609.189827373615,11608.129408138106
Age,35-44,Citizenship status,Born in the U.S.,Total person's income,2150.7520157835825,2465.7056575492315,314.9536417656491,66948,32440,53402,0.1775102744266207,0.031004551464863694,0.015624335664916833,0.02794785394784749,[0.00066847],[0.00069363],0.004961031223917523,65713.88684252005,1886837802.8399725,11609.189827373615,11608.129408138106
Age,35-44,Citizenship status,U.S. citizen by naturalization,Total person's income,6210.100770237768,6072.633015931548,137.46775430622074,66948,32440,5804,0.1775102744266207,0.013652719992848783,0.006849820013533292,0.012295878141023953,[5.92329106e-12],[5.54794729e-10],0.002182644703129449,65713.88684252005,1886837802.8399725,11609.189827373615,11608.129408138106
Age,35-44,Citizenship status,Born abroad of American parent(s),Total person's income,6859.133809024439,5421.013153450665,1438.1206555737735,66948,32440,717,0.1775102744266207,0.13394950651723347,0.06938166067782303,0.12140466672526051,[0.00543662],[0.05788202],0.02155057570707342,65713.88684252005,1886837802.8399725,11609.189827373615,11608.129408138106
Age,35-44,Citizenship status,Not a citizen of the U.S.,Total person's income,-9379.811259300543,-12276.570881259686,2896.7596219591433,66948,32440,6595,0.1775102744266207,0.251493927449852,0.13483754557300165,0.2294944075014358,[3.3949768e-28],[3.88795545e-32],0.04073761525495459,65713.88684252005,1886837802.8399725,11609.189827373615,11608.129408138106
Age,17-24,Citizenship status,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",Total person's income,,3213.1173669602686,,48066,23683,172,0.1274453135357285,,,,,,,18620.268882119042,394878175.8368391,1535.887598699492,1519.4922096018254
Age,17-24,Citizenship status,Born in the U.S.,Total person's income,-1398.3447432992634,-1119.3928671966914,278.951876102572,48066,23683,43864,0.1274453135357285,0.027509709508931057,0.01385077676293378,0.024793142402798063,[3.30626571e-06],[0.00351415],0.003159769807060564,18620.268882119042,394878175.8368391,1535.887598699492,1519.4922096018254
Age,17-24,Citizenship status,U.S. citizen by naturalization,Total person's income,1069.2566091462431,1281.517459865141,212.26085071889793,48066,23683,1303,0.1274453135357285,0.02100239719630259,0.010556922908802502,0.018922161574195684,[0.04089887],[0.04720112],0.0024115408145970827,18620.268882119042,394878175.8368391,1535.887598699492,1519.4922096018254
Age,17-24,Citizenship status,Born abroad of American parent(s),Total person's income,,,,48066,23683,518,0.1274453135357285,,,,,,,18620.268882119042,394878175.8368391,1535.887598699492,1519.4922096018254
Age,17-24,Citizenship status,Not a citizen of the U.S.,Total person's income,1915.0337159192186,1150.3493457909244,764.6843701282942,48066,23683,2209,0.1274453135357285,0.07361784678459737,0.03751251789158172,0.0665067933452742,[2.33720954e-06],[0.03099763],0.008475979130144373,18620.268882119042,394878175.8368391,1535.887598699492,1519.4922096018254
Age,65-74,Citizenship status,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",Total person's income,,,,35783,16911,138,0.0948773697467851,,,,,,,69691.88227798173,1122420164.1201036,15875.417716279342,15875.26397019691
Age,65-74,Citizenship status,Born in the U.S.,Total person's income,5900.580106394722,3306.6714377190146,2593.9086686757073,35783,16911,31486,0.0948773697467851,0.2284785980529459,0.12163708983868515,0.20820422493115376,[1.91979081e-07],[0.0056491],0.019753869231635888,69691.88227798173,1122420164.1201036,15875.417716279342,15875.26397019691
Age,65-74,Citizenship status,U.S. citizen by naturalization,Total person's income,-3406.932172296103,-2487.692666698822,919.2395055972811,35783,16911,3218,0.0948773697467851,0.08782548273116275,0.04492172191550847,0.07940175641544578,[0.00815559],[0.0646511],0.007533429801972415,69691.88227798173,1122420164.1201036,15875.417716279342,15875.26397019691
Age,65-74,Citizenship status,Born abroad of American parent(s),Total person's income,9675.73084010512,13229.603702983317,3553.8728628781973,35783,16911,205,0.0948773697467851,0.2990980590734166,0.1628011341822162,0.2737409848887917,[0.04746698],[0.00823495],0.025971824638143005,69691.88227798173,1122420164.1201036,15875.417716279342,15875.26397019691
Age,65-74,Citizenship status,Not a citizen of the U.S.,Total person's income,-18233.614822983902,-11699.308891697878,6534.305931286024,35783,16911,736,0.0948773697467851,0.4797420814331014,0.2787109327274545,0.4446115686983947,[2.11481204e-12],[5.26037847e-05],0.042183576197095736,69691.88227798173,1122420164.1201036,15875.417716279342,15875.26397019691
Age,0-16,Citizenship status,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",Total person's income,,,,2253,1134,2,0.0059737504971496755,,,,,,,5832.732661246389,4232265.076223956,179.40035273368775,109.4003527336863
Age,0-16,Citizenship status,Born in the U.S.,Total person's income,,,,2253,1134,2148,0.0059737504971496755,,,,,,,5832.732661246389,4232265.076223956,179.40035273368775,109.4003527336863
Age,0-16,Citizenship status,U.S. citizen by naturalization,Total person's income,,,,2253,1134,31,0.0059737504971496755,,,,,,,5832.732661246389,4232265.076223956,179.40035273368775,109.4003527336863
Age,0-16,Citizenship status,Born abroad of American parent(s),Total person's income,,,,2253,1134,27,0.0059737504971496755,,,,,,,5832.732661246389,4232265.076223956,179.40035273368775,109.4003527336863
Age,0-16,Citizenship status,Not a citizen of the U.S.,Total person's income,,,,2253,1134,45,0.0059737504971496755,,,,,,,5832.732661246389,4232265.076223956,179.40035273368775,109.4003527336863
Age,75-84,Marital status,Never Married,Total person's income,-13615.523928149756,,,7391,3180,290,0.01959697732997481,,,,,,,72892.69522845771,204665459.86348587,14771.235849056604,14767.902515723268
Age,75-84,Marital status,Divorced,Total person's income,-9467.6826329963,4504.244168498422,13971.926801494723,7391,3180,1021,0.01959697732997481,0.7527097868756383,0.5027171698878377,0.7156283905424183,[0.0001161],[0.04009535],0.014024153346146132,72892.69522845771,204665459.86348587,14771.235849056604,14767.902515723268
Age,75-84,Marital status,Separated,Total person's income,-17657.40544718806,,,7391,3180,60,0.01959697732997481,,,,,,,72892.69522845771,204665459.86348587,14771.235849056604,14767.902515723268
Age,75-84,Marital status,Widowed,Total person's income,-13787.730996852086,,,7391,3180,1530,0.01959697732997481,,,,,,,72892.69522845771,204665459.86348587,14771.235849056604,14767.902515723268
Age,75-84,Marital status,Married,Total person's income,16968.25706426397,,,7391,3180,4490,0.01959697732997481,,,,,,,72892.69522845771,204665459.86348587,14771.235849056604,14767.902515723268
Age,25-34,Marital status,Never Married,Total person's income,-9080.3568281427,-2090.2973598578246,6990.059468284875,70110,34245,35419,0.1858942065491184,0.5029208185827885,0.2949615745101466,0.4669315036756555,[6.25050409e-191],[2.69158203e-08],0.08679986138857274,40911.03398827832,1102080632.5807567,5556.857906263693,5555.04275076653
Age,25-34,Marital status,Divorced,Total person's income,-5237.302148122559,-2002.6289399311645,3234.673208191394,70110,34245,3089,0.1858942065491184,0.2763643946451847,0.1493322591312074,0.2525744585187426,[3.46143451e-12],[0.01748031],0.04695212856091487,40911.03398827832,1102080632.5807567,5556.857906263693,5555.04275076653
Age,25-34,Marital status,Separated,Total person's income,-12539.381368389488,-11171.374350121183,1368.0070182683048,70110,34245,1039,0.1858942065491184,0.12785597447638886,0.06611348359470826,0.1158430011850129,[1.02573596e-22],[4.10380297e-16],0.021534542789556556,40911.03398827832,1102080632.5807567,5556.857906263693,5555.04275076653
Age,25-34,Marital status,Widowed,Total person's income,-8833.9404474027,,,70110,34245,101,0.1858942065491184,,,,,,,40911.03398827832,1102080632.5807567,5556.857906263693,5555.04275076653
Age,25-34,Marital status,Married,Total person's income,10932.525362395318,3343.3090155089812,7589.216346886336,70110,34245,30462,0.1858942065491184,0.531828985722107,0.31576976515364874,0.4949154667897385,[7.38392529e-272],[5.61540031e-19],0.092001918007765,40911.03398827832,1102080632.5807567,5556.857906263693,5555.04275076653
Age,45-54,Marital status,Never Married,Total person's income,-17945.853775849842,-2311.8287512797397,15634.025024570103,71103,34995,8828,0.188527111228954,0.7905777023011411,0.5423731894885759,0.7551384309014707,[1.3304166e-103],[0.01387617],0.14236406695581935,73127.57375368489,2392475554.796439,15022.105700814402,15015.326675239317
Age,45-54,Marital status,Divorced,Total person's income,-12218.90061654208,,,71103,34995,11266,0.188527111228954,,,,,,,73127.57375368489,2392475554.796439,15022.105700814402,15015.326675239317
Age,45-54,Marital status,Separated,Total person's income,-22504.005143279435,-12065.333602669161,10438.671540610274,71103,34995,1721,0.188527111228954,0.6479095422172643,0.4066278926485205,0.6091691567849654,[1.68441205e-36],[1.57769057e-11],0.11484490137844729,73127.57375368489,2392475554.796439,15022.105700814402,15015.326675239317
Age,45-54,Marital status,Widowed,Total person's income,-20786.496179614616,-7024.447482082251,13762.048697532366,71103,34995,1037,0.188527111228954,0.7474648595253183,0.49747125408123993,0.7102058346824103,[9.99232925e-20],[0.00053725],0.13389305439062288,73127.57375368489,2392475554.796439,15022.105700814402,15015.326675239317
Age,45-54,Marital status,Married,Total person's income,20224.761218129337,3737.2519013724013,16487.509316756936,71103,34995,48251,0.188527111228954,0.8077100580438915,0.5614912293281827,0.7732428909407505,[4.22194546e-262],[2.32280798e-09],0.1457772485073848,73127.57375368489,2392475554.796439,15022.105700814402,15015.326675239317
Age,55-64,Marital status,Never Married,Total person's income,-13952.788452579662,2121.947191272702,16074.735643852364,74374,36976,6474,0.1972000530292987,0.7996067442711188,0.552346947146698,0.7646605191595518,[1.92117205e-49],[0.03673653],0.15079109492767467,72620.21211947904,2447852252.6905627,14599.495213111206,14595.531344655996
Age,55-64,Marital status,Divorced,Total person's income,-10715.13176810147,2374.893827635402,13090.025595736872,74374,36976,12612,0.1972000530292987,0.7299106799183206,0.4802988165477402,0.6921375860036634,[1.35971748e-51],[0.00080879],0.1364895686634932,72620.21211947904,2447852252.6905627,14599.495213111206,14595.531344655996
Age,55-64,Marital status,Separated,Total person's income,-20423.780780432884,-12020.84069315804,8402.940087274845,74374,36976,1322,0.1972000530292987,0.5684163845756107,0.34304976183550306,0.5305833887147857,[3.75563678e-24],[3.36333308e-09],0.10463107239102075,72620.21211947904,2447852252.6905627,14599.495213111206,14595.531344655996
Age,55-64,Marital status,Widowed,Total person's income,-15001.029613353792,-3583.146854339495,11417.882759014297,74374,36976,2887,0.1972000530292987,0.680752391758388,0.43497999306076596,0.6421385749245174,[1.34887342e-27],[0.00270855],0.12662976102727314,72620.21211947904,2447852252.6905627,14599.495213111206,14595.531344655996
Age,55-64,Marital status,Married,Total person's income,16428.708829685733,,,74374,36976,51079,0.1972000530292987,,,,,,,72620.21211947904,2447852252.6905627,14599.495213111206,14595.531344655996
Age,85-94,Marital status,Never Married,Total person's income,,,,1076,513,54,0.0028529762693888373,,,,,,,74737.37167340092,33674998.47767775,13035.64522417154,13035.645224171545
Age,85-94,Marital status,Divorced,Total person's income,-15473.677805605868,,,1076,513,103,0.0028529762693888373,,,,,,,74737.37167340092,33674998.47767775,13035.64522417154,13035.645224171545
Age,85-94,Marital status,Separated,Total person's income,,,,1076,513,5,0.0028529762693888373,,,,,,,74737.37167340092,33674998.47767775,13035.64522417154,13035.645224171545
Age,85-94,Marital status,Widowed,Total person's income,-11857.352964426886,,,1076,513,460,0.0028529762693888373,,,,,,,74737.37167340092,33674998.47767775,13035.64522417154,13035.645224171545
Age,85-94,Marital status,Married,Total person's income,19078.549513435384,-9314.037457697817,28392.5869711332,1076,513,454,0.0028529762693888373,0.9415310068633688,0.7581963748480366,0.9223336217337859,[3.36540712e-05],[0.07653841],0.0026313959352659514,74737.37167340092,33674998.47767775,13035.64522417154,13035.645224171545
Age,35-44,Marital status,Never Married,Total person's income,-18607.330796017835,-5431.179504718246,13176.15129129959,66948,32440,14189,0.1775102744266207,0.7322268545492753,0.4825319860602738,0.6945146990374673,[2.73441718e-198],[1.49519909e-13],0.12328349481946271,65713.88684252005,1936327574.0058112,12144.781689272502,12143.782922318132
Age,35-44,Marital status,Divorced,Total person's income,-12230.334455645541,-3544.992549053226,8685.341906592315,66948,32440,7112,0.1775102744266207,0.5804338973591279,0.3522607757431452,0.5423638173624719,[6.91253325e-50],[5.95244792e-05],0.09627515005908197,65713.88684252005,1936327574.0058112,12144.781689272502,12143.782922318132
Age,35-44,Marital status,Separated,Total person's income,-23633.72483636711,-16309.654112194843,7324.070724172267,66948,32440,1632,0.1775102744266207,0.5192496047771753,0.3066383373571735,0.4827176205947187,[9.0140693e-47],[1.43763134e-21],0.08568733730233388,65713.88684252005,1936327574.0058112,12144.781689272502,12143.782922318132
Age,35-44,Marital status,Widowed,Total person's income,-15190.310996356187,-6075.992600846388,9114.3183955098,66948,32440,347,0.1775102744266207,0.5980517136469906,0.36600608334700135,0.559695460208608,[1.74658614e-05],[0.06864503],0.09935169473696379,65713.88684252005,1936327574.0058112,12144.781689272502,12143.782922318132
Age,35-44,Marital status,Married,Total person's income,21645.256458648008,7641.790085233217,14003.46637341479,66948,32440,43668,0.1775102744266207,0.753488500960872,0.5035007562552305,0.716434452267873,[0.],[2.2944652e-36],0.1271744762307558,65713.88684252005,1936327574.0058112,12144.781689272502,12143.782922318132
Age,17-24,Marital status,Never Married,Total person's income,-9315.939227899713,-5773.745033169827,3542.1941947298856,48066,23683,44104,0.1274453135357285,0.2982790207854308,0.1623121230347373,0.27297722715136574,[8.59681982e-202],[1.44428015e-59],0.034789668302419585,18620.268882119042,414572354.42447686,1688.6536756323148,1682.080521893342
Age,17-24,Marital status,Divorced,Total person's income,10721.86614126265,9164.25947715655,1557.6066641061007,48066,23683,169,0.1274453135357285,0.14423602107160183,0.07492487930525438,0.13080223311942296,[7.75415776e-14],[1.08217104e-08],0.01667013161107831,18620.268882119042,414572354.42447686,1688.6536756323148,1682.080521893342
Age,17-24,Marital status,Separated,Total person's income,4952.788618951827,5816.8328847344255,864.0442657825988,48066,23683,142,0.1274453135357285,0.08277679324387799,0.042282292762568785,0.07481724121482347,[0.00155071],[0.00034861],0.009535106764501405,18620.268882119042,414572354.42447686,1688.6536756323148,1682.080521893342
Age,17-24,Marital status,Widowed,Total person's income,,,,48066,23683,20,0.1274453135357285,,,,,,,18620.268882119042,414572354.42447686,1688.6536756323148,1682.080521893342
Age,17-24,Marital status,Married,Total person's income,9345.271907955157,5480.142906152874,3865.129001802283,48066,23683,3631,0.1274453135357285,0.32057803934764006,0.17572943722806644,0.29380340011484385,[1.61635288e-187],[1.81157968e-49],0.037443866445499366,18620.268882119042,414572354.42447686,1688.6536756323148,1682.080521893342
Age,65-74,Marital status,Never Married,Total person's income,-8738.605991047145,5166.910860693191,13905.516851740336,35783,16911,2040,0.0948773697467851,0.7510620686242365,0.501063199016385,0.7139236416778518,[3.78634633e-08],[0.00122768],0.06773519732244086,69691.88227798173,1076597729.050785,14360.905446159304,14360.905446159304
Age,65-74,Marital status,Divorced,Total person's income,-9302.624017327566,3524.1720302747854,12826.79604760235,35783,16911,5993,0.0948773697467851,0.7227067323185477,0.4734135705494754,0.6847570426527072,[3.94638541e-21],[0.00014192],0.064967947122476,69691.88227798173,1076597729.050785,14360.905446159304,14360.905446159304
Age,65-74,Marital status,Separated,Total person's income,-10038.63745894529,,,35783,16911,452,0.0948773697467851,,,,,,,69691.88227798173,1076597729.050785,14360.905446159304,14360.905446159304
Age,65-74,Marital status,Widowed,Total person's income,-8581.339367193468,3018.730222248938,11600.069589442406,35783,16911,3340,0.0948773697467851,0.6865160006426572,0.4401035815819654,0.6479585177582607,[1.21970725e-11],[0.0053212],0.06147659986992932,69691.88227798173,1076597729.050785,14360.905446159304,14360.905446159304
Age,65-74,Marital status,Married,Total person's income,11833.687084918733,-4997.237307181349,16830.92439210008,35783,16911,23958,0.0948773697467851,0.8142014839057681,0.5689564800461189,0.7801441545359122,[9.91822347e-52],[8.44304065e-11],0.0740180254056968,69691.88227798173,1076597729.050785,14360.905446159304,14360.905446159304
Age,0-16,Marital status,Never Married,Total person's income,-10174.329851814548,-8202.112030411385,1972.2178214031628,2253,1134,2219,0.0059737504971496755,0.17899147190901654,0.09390479082439485,0.16263866900749835,[1.87287124e-24],[2.37545536e-08],0.0009715628298393047,5832.732661246389,6083788.159518889,248.65961199294642,222.85714285714266
Age,0-16,Marital status,Divorced,Total person's income,19803.856761565734,13726.219081272096,6077.6376802936375,2253,1134,5,0.0059737504971496755,0.4554327127511124,0.2620519752388468,0.4213094447838235,[2.37448079e-14],[0.00093746],0.002516797505231219,5832.732661246389,6083788.159518889,248.65961199294642,222.85714285714266
Age,0-16,Marital status,Separated,Total person's income,7558.325922632253,8591.405835543692,1033.0799129114384,2253,1134,4,0.0059737504971496755,0.09815083098694732,0.05034260440248617,0.08878571711314287,[0.00960086],[0.01131873],0.0005303837217444276,5832.732661246389,6083788.159518889,248.65961199294642,222.85714285714266
Age,0-16,Marital status,Widowed,Total person's income,,,,2253,1134,1,0.0059737504971496755,,,,,,,5832.732661246389,6083788.159518889,248.65961199294642,222.85714285714266
Age,0-16,Marital status,Married,Total person's income,8962.462427097273,7795.756227757998,1166.7061993392745,2253,1134,24,0.0059737504971496755,0.1101217469454937,0.05666641475323986,0.09967868070914909,[5.05419701e-14],[2.75123569e-05],0.0005954555684415031,5832.732661246389,6083788.159518889,248.65961199294642,222.85714285714266
Age,75-84,Educational attainment,Bachelor's degree,Total person's income,11958.01138616298,7901.1111990241625,4056.9001871388173,7391,3180,1153,0.01959697732997481,0.33348325687681546,0.1835952332799713,0.3058873535257036,[3.0358254e-07],[0.00138704],0.005994467532569204,72892.69522845771,226762945.31353852,16135.9213836478,16135.921383647794
Age,75-84,Educational attainment,Master's degree,Total person's income,27035.70398822196,22394.892929493886,4640.811058728075,7391,3180,734,0.01959697732997481,0.3712874398817776,0.2070860323350192,0.34142244881878736,[1.12828117e-21],[3.26951981e-14],0.006690847989446261,72892.69522845771,226762945.31353852,16135.9213836478,16135.921383647794
Age,75-84,Educational attainment,No Degree,Total person's income,-38544.991264669035,-20043.27586758907,18501.715397079966,7391,3180,4411,0.01959697732997481,0.84278980379068,0.6035025899084334,0.8108385481026619,[6.18474645e-114],[1.91687324e-28],0.015889984645437553,72892.69522845771,226762945.31353852,16135.9213836478,16135.921383647794
Age,75-84,Educational attainment,Associate's degree,Total person's income,-14890.207620290494,,,7391,3180,424,0.01959697732997481,,,,,,,72892.69522845771,226762945.31353852,16135.9213836478,16135.921383647794
Age,75-84,Educational attainment,Doctorate degree,Total person's income,53174.09457457326,46425.4331253388,6748.66144923446,7391,3180,304,0.01959697732997481,0.4907754216592649,0.28640026741825697,0.45522342931986104,[5.90210958e-36],[4.36907228e-16],0.008921003224454707,72892.69522845771,226762945.31353852,16135.9213836478,16135.921383647794
Age,75-84,Educational attainment,Professional Degree,Total person's income,84999.5704058145,52918.373056520286,32081.19734929422,7391,3180,365,0.01959697732997481,0.9595674342146145,0.798921493477335,0.9442739613725176,[5.3136016e-108],[1.50232917e-15],0.018504915414302738,72892.69522845771,226762945.31353852,16135.9213836478,16135.921383647794
Age,25-34,Educational attainment,Bachelor's degree,Total person's income,15180.518234075673,12163.724652897083,3016.79358117859,70110,34245,19989,0.1858942065491184,0.2604248343516181,0.140014438697729,0.23777342296694448,[0.],[6.43949231e-202],0.04420070180090807,40911.03398827832,1085453876.606721,5423.878551613373,5423.621579792671
Age,25-34,Educational attainment,Master's degree,Total person's income,22425.9465447626,20869.406421224227,1556.5401235383724,70110,34245,6639,0.1858942065491184,0.14414474550424083,0.0748755464826587,0.1307187959938002,[0.],[1.28184867e-286],0.024299866862323567,40911.03398827832,1085453876.606721,5423.878551613373,5423.621579792671
Age,25-34,Educational attainment,No Degree,Total person's income,-23455.716015233815,-22625.76954277454,829.9464724592763,70110,34245,34617,0.1858942065491184,0.07964392635333906,0.04064809707456085,0.0719736781366791,[0.],[0.],0.013379489789639591,40911.03398827832,1085453876.606721,5423.878551613373,5423.621579792671
Age,25-34,Educational attainment,Associate's degree,Total person's income,-5786.395779445826,-6385.140100068762,598.7443206229364,70110,34245,6542,0.1858942065491184,0.05811720356060823,0.029493536116635632,0.052460817061743215,[1.18418363e-27],[2.85611692e-25],0.009752161962611208,40911.03398827832,1085453876.606721,5423.878551613373,5423.621579792671
Age,25-34,Educational attainment,Doctorate degree,Total person's income,38543.672303784035,36423.67117729873,2120.001126485302,70110,34245,893,0.1858942065491184,0.19103539356217913,0.10057540258350683,0.17370225258053085,[3.77130989e-173],[1.09863637e-114],0.03229024241925234,40911.03398827832,1085453876.606721,5423.878551613373,5423.621579792671
Age,25-34,Educational attainment,Professional Degree,Total person's income,42603.93371558685,38925.83525620374,3678.098459383109,70110,34245,1430,0.1858942065491184,0.3077511969042307,0.1679850944269271,0.2818155590270992,[0.],[1.01574767e-210],0.052387879738538846,40911.03398827832,1085453876.606721,5423.878551613373,5423.621579792671
Age,45-54,Educational attainment,Bachelor's degree,Total person's income,28296.97187887199,17622.193732744643,10674.778146127348,71103,34995,15815,0.188527111228954,0.6561252595826583,0.4135916606857115,0.6173865365188568,[0.],[1.55519596e-140],0.11639410024154918,73127.57375368489,2385040944.9394703,15103.657522503214,15100.434204886413
Age,45-54,Educational attainment,Master's degree,Total person's income,40309.30205543899,29946.84661182008,10362.455443618906,71103,34995,7481,0.188527111228954,0.6452157938596843,0.4043623533218239,0.6064790569008989,[0.],[3.0110555e-239],0.11433774461838687,73127.57375368489,2385040944.9394703,15103.657522503214,15100.434204886413
