subpopulation,value_population,subpopulation1,popu_val1,subpopulation2,popu_val2,intersection
,,Citizenship status,Born abroad of American parent(s),Educational attainment,Bachelor's degree,4897.0
,,Citizenship status,Born abroad of American parent(s),Educational attainment,No Degree,9628.0
,,Citizenship status,Born abroad of American parent(s),Educational attainment,Doctorate degree,372.0
,,Citizenship status,Born abroad of American parent(s),With a disability,no,18030.0
,,Citizenship status,Born abroad of American parent(s),With a disability,yes,1505.0
,,Citizenship status,Born abroad of American parent(s),Race/Ethnicity,American Indian or Alaska Native,107.0
,,Citizenship status,Born abroad of American parent(s),Race/Ethnicity,Native Hawaiian or Other Pacific Islander,77.0
,,Citizenship status,Born abroad of American parent(s),Race/Ethnicity,Asian,1792.0
,,Citizenship status,Born abroad of American parent(s),Race/Ethnicity,Black or African American,1420.0
,,Citizenship status,Born abroad of American parent(s),Race/Ethnicity,White,13684.0
,,Citizenship status,Born abroad of American parent(s),Race/Ethnicity,Multiple Races,2455.0
,,Citizenship status,U.S. citizen by naturalization,Marital status,Divorced,15153.0
,,Citizenship status,U.S. citizen by naturalization,Marital status,Never Married,24055.0
,,Citizenship status,U.S. citizen by naturalization,Marital status,Married,100940.0
,,Citizenship status,U.S. citizen by naturalization,Marital status,Separated,3217.0
,,Citizenship status,U.S. citizen by naturalization,Marital status,Widowed,4090.0
,,Citizenship status,U.S. citizen by naturalization,Educational attainment,Associate's degree,12698.0
,,Citizenship status,U.S. citizen by naturalization,Educational attainment,Professional Degree,5354.0
,,Citizenship status,U.S. citizen by naturalization,Educational attainment,Master's degree,17483.0
,,Citizenship status,U.S. citizen by naturalization,Educational attainment,Bachelor's degree,34487.0
,,Citizenship status,U.S. citizen by naturalization,Educational attainment,No Degree,72879.0
,,Citizenship status,U.S. citizen by naturalization,Educational attainment,Doctorate degree,4554.0
,,Citizenship status,U.S. citizen by naturalization,With a disability,no,138446.0
,,Citizenship status,U.S. citizen by naturalization,With a disability,yes,9009.0
,,Citizenship status,U.S. citizen by naturalization,Race/Ethnicity,American Indian or Alaska Native,506.0
,,Citizenship status,U.S. citizen by naturalization,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,370.0
,,Citizenship status,U.S. citizen by naturalization,Race/Ethnicity,Asian,51255.0
,,Citizenship status,U.S. citizen by naturalization,Race/Ethnicity,Black or African American,13982.0
,,Citizenship status,U.S. citizen by naturalization,Race/Ethnicity,White,63781.0
,,Citizenship status,U.S. citizen by naturalization,Race/Ethnicity,Multiple Races,17561.0
,,Citizenship status,Not a citizen of the U.S.,Marital status,Divorced,7546.0
,,Citizenship status,Not a citizen of the U.S.,Marital status,Never Married,32813.0
,,Citizenship status,Not a citizen of the U.S.,Marital status,Married,71338.0
,,Citizenship status,Not a citizen of the U.S.,Marital status,Separated,3494.0
,,Citizenship status,Not a citizen of the U.S.,Marital status,Widowed,1726.0
,,Citizenship status,Not a citizen of the U.S.,Educational attainment,Associate's degree,5525.0
,,Citizenship status,Not a citizen of the U.S.,Educational attainment,Professional Degree,2098.0
,,Citizenship status,Not a citizen of the U.S.,Educational attainment,Master's degree,11922.0
,,Citizenship status,Not a citizen of the U.S.,Educational attainment,Bachelor's degree,18879.0
,,Citizenship status,Not a citizen of the U.S.,Educational attainment,No Degree,75137.0
,,Citizenship status,Not a citizen of the U.S.,Educational attainment,Doctorate degree,3356.0
,,Citizenship status,Not a citizen of the U.S.,With a disability,no,111946.0
,,Citizenship status,Not a citizen of the U.S.,With a disability,yes,4971.0
,,Citizenship status,Not a citizen of the U.S.,Race/Ethnicity,American Indian or Alaska Native,684.0
,,Citizenship status,Not a citizen of the U.S.,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,457.0
,,Citizenship status,Not a citizen of the U.S.,Race/Ethnicity,Asian,28549.0
,,Citizenship status,Not a citizen of the U.S.,Race/Ethnicity,Black or African American,7601.0
,,Citizenship status,Not a citizen of the U.S.,Race/Ethnicity,White,55487.0
,,Citizenship status,Not a citizen of the U.S.,Race/Ethnicity,Multiple Races,24139.0
,,Marital status,Divorced,Educational attainment,Associate's degree,22594.0
,,Marital status,Divorced,Educational attainment,Professional Degree,3957.0
,,Marital status,Divorced,Educational attainment,Master's degree,16871.0
,,Marital status,Divorced,Educational attainment,Bachelor's degree,36157.0
,,Marital status,Divorced,Educational attainment,No Degree,124396.0
,,Marital status,Divorced,Educational attainment,Doctorate degree,2527.0
,,Marital status,Divorced,With a disability,no,178271.0
,,Marital status,Divorced,With a disability,yes,28231.0
,,Marital status,Divorced,Race/Ethnicity,American Indian or Alaska Native,2284.0
,,Marital status,Divorced,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,256.0
,,Marital status,Divorced,Race/Ethnicity,Asian,5769.0
,,Marital status,Divorced,Race/Ethnicity,Black or African American,20915.0
,,Marital status,Divorced,Race/Ethnicity,White,167300.0
,,Marital status,Divorced,Race/Ethnicity,Multiple Races,9978.0
,,Marital status,Never Married,Educational attainment,Associate's degree,41508.0
,,Marital status,Never Married,Educational attainment,Professional Degree,6735.0
,,Marital status,Never Married,Educational attainment,Master's degree,30965.0
,,Marital status,Never Married,Educational attainment,Bachelor's degree,106870.0
,,Marital status,Never Married,Educational attainment,No Degree,379126.0
,,Marital status,Never Married,Educational attainment,Doctorate degree,4359.0
,,Marital status,Never Married,With a disability,no,525555.0
,,Marital status,Never Married,With a disability,yes,44008.0
,,Marital status,Never Married,Race/Ethnicity,American Indian or Alaska Native,6991.0
,,Marital status,Never Married,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,1181.0
,,Marital status,Never Married,Race/Ethnicity,Asian,31089.0
,,Marital status,Never Married,Race/Ethnicity,Black or African American,77471.0
,,Marital status,Never Married,Race/Ethnicity,White,403758.0
,,Marital status,Never Married,Race/Ethnicity,Multiple Races,49073.0
,,Marital status,Married,Educational attainment,Associate's degree,100786.0
,,Marital status,Married,Educational attainment,Professional Degree,32420.0
,,Marital status,Married,Educational attainment,Master's degree,123278.0
,,Marital status,Married,Educational attainment,Bachelor's degree,245850.0
,,Marital status,Married,Educational attainment,No Degree,503533.0
,,Marital status,Married,Educational attainment,Doctorate degree,22100.0
,,Marital status,Married,With a disability,no,946920.0
,,Marital status,Married,With a disability,yes,81047.0
,,Marital status,Married,Race/Ethnicity,American Indian or Alaska Native,7133.0
,,Marital status,Married,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,1610.0
,,Marital status,Married,Race/Ethnicity,Asian,67358.0
,,Marital status,Married,Race/Ethnicity,Black or African American,58939.0
,,Marital status,Married,Race/Ethnicity,White,842357.0
,,Marital status,Married,Race/Ethnicity,Multiple Races,50570.0
,,Marital status,Separated,Educational attainment,Associate's degree,2862.0
,,Marital status,Separated,Educational attainment,Professional Degree,429.0
,,Marital status,Separated,Educational attainment,Master's degree,1688.0
,,Marital status,Separated,Educational attainment,Bachelor's degree,4228.0
,,Marital status,Separated,Educational attainment,No Degree,22945.0
,,Marital status,Separated,Educational attainment,Doctorate degree,235.0
,,Marital status,Separated,With a disability,no,27649.0
,,Marital status,Separated,With a disability,yes,4738.0
,,Marital status,Separated,Race/Ethnicity,American Indian or Alaska Native,482.0
,,Marital status,Separated,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,57.0
,,Marital status,Separated,Race/Ethnicity,Asian,1129.0
,,Marital status,Separated,Race/Ethnicity,Black or African American,6033.0
,,Marital status,Separated,Race/Ethnicity,White,21593.0
,,Marital status,Separated,Race/Ethnicity,Multiple Races,3093.0
,,Marital status,Widowed,Educational attainment,Associate's degree,4522.0
,,Marital status,Widowed,Educational attainment,Professional Degree,895.0
,,Marital status,Widowed,Educational attainment,Master's degree,3555.0
,,Marital status,Widowed,Educational attainment,Bachelor's degree,6982.0
,,Marital status,Widowed,Educational attainment,No Degree,32736.0
,,Marital status,Widowed,Educational attainment,Doctorate degree,639.0
,,Marital status,Widowed,With a disability,no,38735.0
,,Marital status,Widowed,With a disability,yes,10594.0
,,Marital status,Widowed,Race/Ethnicity,American Indian or Alaska Native,554.0
,,Marital status,Widowed,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,80.0
,,Marital status,Widowed,Race/Ethnicity,Asian,1814.0
,,Marital status,Widowed,Race/Ethnicity,Black or African American,5182.0
,,Marital status,Widowed,Race/Ethnicity,White,39964.0
,,Marital status,Widowed,Race/Ethnicity,Multiple Races,1735.0
,,Educational attainment,Associate's degree,With a disability,no,157082.0
,,Educational attainment,Associate's degree,With a disability,yes,15190.0
,,Educational attainment,Associate's degree,Race/Ethnicity,American Indian or Alaska Native,1540.0
,,Educational attainment,Associate's degree,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,287.0
,,Educational attainment,Associate's degree,Race/Ethnicity,Asian,7238.0
,,Educational attainment,Associate's degree,Race/Ethnicity,Black or African American,15069.0
,,Educational attainment,Associate's degree,Race/Ethnicity,White,139894.0
,,Educational attainment,Associate's degree,Race/Ethnicity,Multiple Races,8244.0
,,Educational attainment,Professional Degree,With a disability,no,41756.0
,,Educational attainment,Professional Degree,With a disability,yes,2680.0
,,Educational attainment,Professional Degree,Race/Ethnicity,American Indian or Alaska Native,92.0
,,Educational attainment,Professional Degree,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,27.0
,,Educational attainment,Professional Degree,Race/Ethnicity,Asian,4620.0
,,Educational attainment,Professional Degree,Race/Ethnicity,Black or African American,2096.0
,,Educational attainment,Professional Degree,Race/Ethnicity,White,36272.0
,,Educational attainment,Professional Degree,Race/Ethnicity,Multiple Races,1329.0
,,Educational attainment,Master's degree,With a disability,no,166657.0
,,Educational attainment,Master's degree,With a disability,yes,9700.0
,,Educational attainment,Master's degree,Race/Ethnicity,American Indian or Alaska Native,710.0
,,Educational attainment,Master's degree,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,130.0
,,Educational attainment,Master's degree,Race/Ethnicity,Asian,17695.0
,,Educational attainment,Master's degree,Race/Ethnicity,Black or African American,12157.0
,,Educational attainment,Master's degree,Race/Ethnicity,White,140151.0
,,Educational attainment,Master's degree,Race/Ethnicity,Multiple Races,5514.0
,,Educational attainment,Bachelor's degree,With a disability,no,377953.0
,,Educational attainment,Bachelor's degree,With a disability,yes,22134.0
,,Educational attainment,Bachelor's degree,Race/Ethnicity,American Indian or Alaska Native,1674.0
,,Educational attainment,Bachelor's degree,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,400.0
,,Educational attainment,Bachelor's degree,Race/Ethnicity,Asian,33521.0
,,Educational attainment,Bachelor's degree,Race/Ethnicity,Black or African American,24569.0
,,Educational attainment,Bachelor's degree,Race/Ethnicity,White,324336.0
