itemset,treatment,ate1,ate2,iscore,size_itemset,size_group1,size_group2,support,ni_score,utility,std,diff_means
"{'IsHadHeartAttack': 2.0, 'BornInUSA': 1.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6F820>, 'val_specified': 4.0}]",-0.008297649633646653,-0.10665985931472721,0.09836220968108056,4667,2538,2129,0.7495984580790235,9.83622083783331e-09,9.83622083783331e-09,0.32719323022557345,0.24825989256398118
"{'Race': 1.0, 'IsDiagnosedAsthma': 2.0, 'IsHadHeartAttack': 2.0}","[{'att': 'CurrentlySmoke', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6F790>, 'val_specified': 0.0}]",0.011707971439001597,-0.06593317474047966,0.07764114617948126,3776,1914,1862,0.6064889174429811,7.764114573483027e-09,7.764114573483027e-09,0.33749996259455883,0.24783128892540351
"{'Race': 1.0, 'IsHadHeartAttack': 2.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6FEE0>, 'val_specified': 4.0}]",-0.008719012807125726,-0.10096245410294635,0.09224344129582063,4178,2134,2044,0.6710568583360103,9.224344066360857e-09,9.224344066360857e-09,0.33679257968382603,0.24651940348875812
"{'IsHadStroke': 2.0, 'BornInUSA': 1.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6FCA0>, 'val_specified': 4.0}]",-0.008364303342841772,-0.1071214447612785,0.09875714141843672,4641,2528,2113,0.7454224221008673,9.875714135354485e-09,9.875714135354485e-09,0.32573598761250283,0.24591176082958421
"{'IsHadHeartAttack': 2.0, 'IsHadStroke': 2.0, 'IsDiagnosedAsthma': 2.0, 'BornInUSA': 1.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020352B3F700>, 'val_specified': 4.0}]",-0.0070716358938176516,-0.10396474967989322,0.09689311378607557,3926,2204,1722,0.6305814327015741,9.6893112422336e-09,9.6893112422336e-09,0.3176367038672908,0.24406527251686816
"{'Race': 1.0, 'IsHadStroke': 2.0, 'IsDiagnosedAsthma': 2.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6F550>, 'val_specified': 4.0}]",-0.008044602708394688,-0.09933452361629613,0.09128992090790145,3796,1909,1887,0.6097012528107935,9.12899189575711e-09,9.12899189575711e-09,0.33587398494807097,0.24387090075932405
"{'Race': 1.0, 'IsHadStroke': 2.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6F3A0>, 'val_specified': 4.0}]",-0.008793695947838298,-0.10051309221717308,0.09171939626933479,4203,2128,2075,0.6750722775457758,9.171939541197105e-09,9.171939541197105e-09,0.33593922169349405,0.24266169942929605
"{'IsHadHeartAttack': 2.0, 'IsHadStroke': 2.0, 'BornInUSA': 1.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6F0D0>, 'val_specified': 4.0}]",-0.008922521528479388,-0.10427430145227556,0.09535177992379618,4452,2526,1926,0.7150658528750402,9.535177869501865e-09,9.535177869501865e-09,0.31547033307776784,0.2398692230090549
"{'Race': 1.0, 'IsHadStroke': 2.0, 'IsDiagnosedAsthma': 2.0, 'IsHadHeartAttack': 2.0}","[{'att': 'CurrentlySmoke', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6F5E0>, 'val_specified': 0.0}]",0.012469941600823597,-0.08208472442036463,0.09455466602118823,3634,1909,1725,0.583681336331513,9.455466520869038e-09,9.455466520869038e-09,0.3258988052938232,0.23683603981141954
"{'Race': 1.0, 'IsHadStroke': 2.0, 'IsHadHeartAttack': 2.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020352DD40D0>, 'val_specified': 4.0}]",-0.009452508488059896,-0.09949708069781193,0.09004457220975204,4016,2126,1890,0.6450369418567299,9.004457068861882e-09,9.004457068861882e-09,0.3249848289465401,0.23503710672102018
{'IsDiagnosedAsthma': 2.0},"[{'att': 'TakesAspirinFrequently', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020352DD41F0>, 'val_specified': 1.0}]",-0.025264643613267745,-0.04015508080773533,0.014890437194467587,5556,2790,2766,0.8923867651782846,1.4890437771697407e-09,1.4890437771697407e-09,0.32480993686397086,0.22854166180735347
"{'IsHadHeartAttack': 2.0, 'IsDiagnosedAsthma': 2.0}","[{'att': 'TakesAspirinFrequently', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020352DD4430>, 'val_specified': 1.0}]",-0.025264643613267745,-0.041530596202565606,0.01626595258929786,5298,2790,2508,0.8509476389335047,1.6265953028948843e-09,1.6265953028948843e-09,0.3150466462626229,0.22317315772324275
{'IsHadHeartAttack': 2.0},"[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020352DD4550>, 'val_specified': 4.0}]",-0.006054124085599133,-0.09807235332678044,0.0920182292411813,5918,3133,2785,0.950530035335689,9.201822748217126e-09,9.201822748217126e-09,0.3133147332745551,0.2188706426807696
{'IsHadStroke': 2.0},"[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020352DD4700>, 'val_specified': 4.0}]",-0.006089576849948264,-0.09918273667848876,0.0930931598285405,5890,3121,2769,0.9460327658207517,9.309315873728963e-09,9.309315873728963e-09,0.3120626427190905,0.21689925618334271
"{'IsHadHeartAttack': 2.0, 'IsHadStroke': 2.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020352DD4B80>, 'val_specified': 4.0}]",-0.00654096449324193,-0.09546169834978468,0.08892073385654276,5666,3119,2547,0.9100546097012528,8.892073188881966e-09,8.892073188881966e-09,0.301266550300091,0.2088867791452087
